Row,Day,Day.Of.Week,dt,Page.Loads,Unique.Visits,First.Time.Visits,Visits
18,Wednesday,4,2014-10-01,"4,124","2,849","2,541",308
19,Thursday,5,2014-10-02,"3,514","2,489","2,239",250
20,Friday,6,2014-10-03,"3,005","2,097","1,856",241
21,Saturday,7,2014-10-04,"2,054","1,436","1,274",162
22,Sunday,1,2014-10-05,"2,847","1,913","1,713",200
23,Monday,2,2014-10-06,"4,501","3,181","2,853",328
24,Tuesday,3,2014-10-07,"4,603","3,163","2,804",359
25,Wednesday,4,2014-10-08,"4,187","3,014","2,663",351
26,Thursday,5,2014-10-09,"4,343","2,864","2,545",319
27,Friday,6,2014-10-10,"3,565","2,382","2,1",282
28,Saturday,7,2014-10-11,"2,08","1,457","1,28",177
29,Sunday,1,2014-10-12,"3,031","2,089","1,856",233
49,Saturday,7,2014-11-01,"2,202","1,496","1,27",226
50,Sunday,1,2014-11-02,"3,083","2,204","1,94",264
51,Monday,2,2014-11-03,"4,376","3,057","2,629",428
52,Tuesday,3,2014-11-04,"4,704","3,141","2,739",402
53,Wednesday,4,2014-11-05,"4,306","3,2","2,797",403
54,Thursday,5,2014-11-06,"4,178","3,034","2,627",407
55,Friday,6,2014-11-07,"3,236","2,318","1,975",343
56,Saturday,7,2014-11-08,"2,01","1,536","1,345",191
57,Sunday,1,2014-11-09,"2,901","2,141","1,849",292
58,Monday,2,2014-11-10,"4,754","3,325","2,885",440
59,Tuesday,3,2014-11-11,"4,417","3,203","2,793",410
60,Wednesday,4,2014-11-12,"4,535","3,351","2,897",454
79,Monday,2,2014-12-01,"5,266","3,877","3,317",560
80,Tuesday,3,2014-12-02,"5,795","4,274","3,7",574
81,Wednesday,4,2014-12-03,"5,728","4,217","3,656",561
82,Thursday,5,2014-12-04,"5,293","3,83","3,295",535
83,Friday,6,2014-12-05,"3,934","2,856","2,479",377
84,Saturday,7,2014-12-06,"3,071","2,165","1,855",310
85,Sunday,1,2014-12-07,"3,876","2,984","2,582",402
86,Monday,2,2014-12-08,"5,878","4,375","3,829",546
87,Tuesday,3,2014-12-09,"5,712","4,187","3,635",552
88,Wednesday,4,2014-12-10,"5,491","4,074","3,48",594
89,Thursday,5,2014-12-11,"5,144","3,801","3,247",554
90,Friday,6,2014-12-12,"3,88","2,86","2,418",442
109,We,Thursday,5,2015-01-01,"1,265",876,715,161
111,Friday,6,2015-01-02,"1,948","1,288","1,03",258
112,Saturday,7,2015-01-03,"1,742","1,096",946,150
113,Sunday,1,2015-01-04,"1,896","1,409","1,186",223
114,Monday,2,2015-01-05,"3,033","2,062","1,706",356
115,Tuesday,3,2015-01-06,"3,445","2,327","1,942",385
116,Wednesday,4,2015-01-07,"3,423","2,384","1,991",393
117,Thursday,5,2015-01-08,"3,319","2,272","1,922",350
118,Friday,6,2015-01-09,"2,783","1,941","1,663",278
119,Saturday,7,2015-01-10,"1,952","1,24","1,066",174
120,Sunday,1,2015-01-11,"2,245","1,611","1,391",220
121,Monday,2,2015-01-12,"3,928","2,518","2,125",393
141,Sunday,1,2015-02-01,"3,05","2,122","1,825",297
142,Monday,2,2015-02-02,"4,794","3,366","2,867",499
143,Tuesday,3,2015-02-03,"4,936","3,423","2,922",501
144,Wednesday,4,2015-02-04,"5,016","3,5","3,023",477
145,Thursday,5,2015-02-05,"4,489","3,17","2,753",417
146,Friday,6,2015-02-06,"3,505","2,468","2,075",393
147,Saturday,7,2015-02-07,"2,264","1,679","1,437",242
148,Sunday,1,2015-02-08,"3,314","2,435","2,1",335
149,Monday,2,2015-02-09,"5,095","3,619","3,125",494
150,Tuesday,3,2015-02-10,"5,525","3,793","3,272",521
151,Wednesday,4,2015-02-11,"5,074","3,689","3,19",499
152,Thursday,5,2015-02-12,"4,571","3,319","2,81",509
169,Sunday,1,2015-03-01,"3,907","2,906","2,519",387
170,Monday,2,2015-03-02,"5,308","3,778","3,222",556
171,Tuesday,3,2015-03-03,"5,773","4,025","3,49",535
172,Wednesday,4,2015-03-04,"5,585","4,06","3,457",603
173,Thursday,5,2015-03-05,"4,783","3,582","3,049",533
174,Friday,6,2015-03-06,"3,893","2,707","2,259",448
175,Saturday,7,2015-03-07,"2,917","2,048","1,723",325
176,Sunday,1,2015-03-08,"3,353","2,468","2,104",364
177,Monday,2,2015-03-09,"5,4","3,824","3,246",578
178,Tuesday,3,2015-03-10,"5,395","3,926","3,35",576
179,Wednesday,4,2015-03-11,"5,229","3,859","3,263",596
180,Thursday,5,2015-03-12,"5,371","3,784","3,204",580
200,Wednesday,4,2015-04-01,"5,329","3,761","3,17",591
201,Thursday,5,2015-04-02,"4,553","3,214","2,71",504
202,Friday,6,2015-04-03,"3,423","2,404","1,988",416
203,Saturday,7,2015-04-04,"2,708","1,807","1,512",295
204,Sunday,1,2015-04-05,"3,306","2,266","1,895",371
205,Monday,2,2015-04-06,"5,203","3,692","3,133",559
206,Tuesday,3,2015-04-07,"5,712","4,104","3,456",648
207,Wednesday,4,2015-04-08,"5,601","4,015","3,401",614
208,Thursday,5,2015-04-09,"5,486","4,063","3,43",633
209,Friday,6,2015-04-10,"4,178","3,213","2,697",516
210,Saturday,7,2015-04-11,"2,878","2,153","1,835",318
211,Sunday,1,2015-04-12,"4,169","2,903","2,447",456
230,Friday,6,2015-05-01,"4,247","3,064","2,562",502
231,Saturday,7,2015-05-02,"3,219","2,36","1,958",402
232,Sunday,1,2015-05-03,"4,211","3,21","2,765",445
233,Monday,2,2015-05-04,"6,424","4,752","4,043",709
234,Tuesday,3,2015-05-05,"6,223","4,52","3,818",702
235,Wednesday,4,2015-05-06,"6,551","4,768","4,059",709
236,Thursday,5,2015-05-07,"6,343","4,449","3,77",679
237,Friday,6,2015-05-08,"4,696","3,366","2,824",542
238,Saturday,7,2015-05-09,"3,134","2,239","1,846",393
239,Sunday,1,2015-05-10,"3,868","2,844","2,365",479
240,Monday,2,2015-05-11,"6,02","4,482","3,787",695
241,Tuesday,3,2015-05-12,"5,705","4,16","3,49",670
261,Monday,2,2015-06-01,"4,905","3,419","2,797",622
262,Tuesday,3,2015-06-02,"4,747","3,284","2,701",583
263,Wednesday,4,2015-06-03,"4,591","3,317","2,713",604
264,Thursday,5,2015-06-04,"4,431","3,173","2,652",521
265,Friday,6,2015-06-05,"3,608","2,523","2,068",455
266,Saturday,7,2015-06-06,"2,422","1,673","1,336",337
267,Sunday,1,2015-06-07,"3,132","2,145","1,79",355
268,Monday,2,2015-06-08,"4,962","3,377","2,788",589
269,Tuesday,3,2015-06-09,"4,881","3,469","2,862",607
270,Wednesday,4,2015-06-10,"5,001","3,425","2,786",639
271,Thursday,5,2015-06-11,"4,635","3,242","2,614",628
272,Friday,6,2015-06-12,"3,545","2,494","2,066",428
291,Wednesday,4,2015-07-01,"3,897","2,745","2,266",479
292,Thursday,5,2015-07-02,"3,871","2,54","2,072",468
293,Friday,6,2015-07-03,"2,63","1,716","1,353",363
294,Saturday,7,2015-07-04,"1,602","1,104",900,204
295,Sunday,1,2015-07-05,"1,96","1,37","1,141",229
296,Monday,2,2015-07-06,"4,143","2,655","2,171",484
297,Tuesday,3,2015-07-07,"4,205","2,789","2,266",523
298,Wednesday,4,2015-07-08,"4,193","2,783","2,255",528
299,Thursday,5,2015-07-09,"3,71","2,536","2,069",467
300,Friday,6,2015-07-10,"3,137","2,203","1,767",436
301,Saturday,7,2015-07-11,"1,834","1,145",944,201
302,Sunday,1,2015-07-12,"2,07","1,473","1,197",276
322,Saturday,7,2015-08-01,"1,737","1,197",958,239
323,Sunday,1,2015-08-02,"2,181","1,567","1,282",285
324,Monday,2,2015-08-03,"3,973","2,794","2,263",531
325,Tuesday,3,2015-08-04,"3,997","2,794","2,269",525
326,Wednesday,4,2015-08-05,"4,132","2,798","2,287",511
327,Thursday,5,2015-08-06,"3,791","2,693","2,204",489
328,Friday,6,2015-08-07,"2,968","2,139","1,738",401
329,Saturday,7,2015-08-08,"1,752","1,266","1,021",245
330,Sunday,1,2015-08-09,"2,07","1,497","1,231",266
331,Monday,2,2015-08-10,"3,92","2,684","2,139",545
332,Tuesday,3,2015-08-11,"4,106","2,791","2,266",525
333,Wednesday,4,2015-08-12,"4,006","2,726","2,166",560
353,Tuesday,3,2015-09-01,"4,261","2,89","2,358",532
354,Wednesday,4,2015-09-02,"4,058","2,923","2,442",481
355,Thursday,5,2015-09-03,"4,392","3,007","2,466",541
356,Friday,6,2015-09-04,"3,072","2,221","1,846",375
357,Saturday,7,2015-09-05,"1,799","1,284","1,068",216
358,Sunday,1,2015-09-06,"2,341","1,611","1,345",266
359,Monday,2,2015-09-07,"3,33","2,354","1,963",391
360,Tuesday,3,2015-09-08,"4,734","3,381","2,833",548
361,Wednesday,4,2015-09-09,"4,801","3,381","2,845",536
362,Thursday,5,2015-09-10,"4,399","3,079","2,575",504
363,Friday,6,2015-09-11,"3,275","2,375","1,958",417
364,Saturday,7,2015-09-12,"2,042","1,429","1,223",206
383,Thursday,5,2015-10-01,"4,619","3,365","2,876",489
384,Friday,6,2015-10-02,"3,443","2,598","2,196",402
385,Saturday,7,2015-10-03,"2,302","1,754","1,503",251
386,Sunday,1,2015-10-04,"3,291","2,506","2,173",333
387,Monday,2,2015-10-05,"5,206","3,737","3,17",567
388,Tuesday,3,2015-10-06,"5,474","3,94","3,337",603
389,Wednesday,4,2015-10-07,"5,4","3,934","3,35",584
390,Thursday,5,2015-10-08,"5,334","3,821","3,244",577
391,Friday,6,2015-10-09,"4,174","3,022","2,547",475
392,Saturday,7,2015-10-10,"2,571","1,853","1,597",256
393,Sunday,1,2015-10-11,"3,572","2,636","2,283",353
394,Monday,2,2015-10-12,"5,018","3,788","3,241",547
414,Sunday,1,2015-11-01,"3,838","2,922","2,456",466
415,Monday,2,2015-11-02,"5,675","4,076","3,419",657
416,Tuesday,3,2015-11-03,"5,624","4,178","3,504",674
417,Wednesday,4,2015-11-04,"5,794","4,316","3,67",646
418,Thursday,5,2015-11-05,"5,389","4,031","3,379",652
419,Friday,6,2015-11-06,"4,305","3,047","2,522",525
420,Saturday,7,2015-11-07,"3,281","2,202","1,854",348
421,Sunday,1,2015-11-08,"3,79","2,837","2,418",419
422,Monday,2,2015-11-09,"5,894","4,203","3,487",716
423,Tuesday,3,2015-11-10,"5,461","4,048","3,388",660
424,Wednesday,4,2015-11-11,"5,206","3,869","3,219",650
425,Thursday,5,2015-11-12,"5,228","3,929","3,281",648
444,Tuesday,3,2015-12-01,"6,38","4,743","4,027",716
445,Wednesday,4,2015-12-02,"6,314","4,829","4,039",790
446,Thursday,5,2015-12-03,"6,16","4,584","3,835",749
447,Friday,6,2015-12-04,"4,859","3,615","2,995",620
448,Saturday,7,2015-12-05,"3,317","2,468","2,04",428
449,Sunday,1,2015-12-06,"4,715","3,55","2,972",578
450,Monday,2,2015-12-07,"6,94","5,136","4,303",833
451,Tuesday,3,2015-12-08,"6,551","4,866","4,068",798
452,Wednesday,4,2015-12-09,"6,327","4,761","3,961",800
453,Thursday,5,2015-12-10,"6,212","4,578","3,83",748
454,Friday,6,2015-12-11,"4,687","3,388","2,771",617
455,Saturday,7,2015-12-12,"3,014","2,283","1,856",427
475,Friday,6,2016-01-01,"1,411",960,786,174
476,Saturday,7,2016-01-02,"1,838","1,197",969,228
477,Sunday,1,2016-01-03,"2,18","1,562","1,279",283
478,Monday,2,2016-01-04,"3,587","2,494","2,037",457
479,Tuesday,3,2016-01-05,"3,855","2,742","2,23",512
480,Wednesday,4,2016-01-06,"3,84","2,628","2,127",501
481,Thursday,5,2016-01-07,"3,735","2,746","2,258",488
482,Friday,6,2016-01-08,"3,223","2,286","1,86",426
483,Saturday,7,2016-01-09,"2,207","1,531","1,28",251
484,Sunday,1,2016-01-10,"2,814",2,"1,661",339
485,Monday,2,2016-01-11,"4,007","2,976","2,444",532
486,Tuesday,3,2016-01-12,"4,119","2,961","2,385",576
506,Monday,2,2016-02-01,"4,918","3,64","3,06",580
507,Tuesday,3,2016-02-02,"5,127","3,783","3,195",588
508,Wednesday,4,2016-02-03,"4,794","3,575","2,999",576
509,Thursday,5,2016-02-04,"4,788","3,42","2,848",572
510,Friday,6,2016-02-05,"3,948","2,727","2,256",471
511,Saturday,7,2016-02-06,"2,383","1,765","1,477",288
512,Sunday,1,2016-02-07,"2,95","2,231","1,839",392
513,Monday,2,2016-02-08,"4,905","3,592","3,024",568
514,Tuesday,3,2016-02-09,"5,353","3,931","3,299",632
515,Wednesday,4,2016-02-10,"5,492","4,007","3,358",649
516,Thursday,5,2016-02-11,"5,052","3,628","3,019",609
517,Friday,6,2016-02-12,"3,764","2,807","2,3",507
535,Tuesday,3,2016-03-01,"6,214","4,474","3,731",743
536,Wednesday,4,2016-03-02,"5,906","4,333","3,597",736
537,Thursday,5,2016-03-03,"5,814","4,191","3,419",772
538,Friday,6,2016-03-04,"4,507","3,188","2,624",564
539,Saturday,7,2016-03-05,"2,859","2,064","1,718",346
540,Sunday,1,2016-03-06,"3,897","2,806","2,326",480
541,Monday,2,2016-03-07,"5,849","4,24","3,503",737
542,Tuesday,3,2016-03-08,"6,264","4,526","3,743",783
543,Wednesday,4,2016-03-09,"6,062","4,404","3,624",780
544,Thursday,5,2016-03-10,"5,685","4,159","3,415",744
545,Friday,6,2016-03-11,"4,391","3,241","2,627",614
546,Saturday,7,2016-03-12,"2,88","2,046","1,638",408
566,Friday,6,2016-04-01,"4,555","2,971","2,408",563
567,Saturday,7,2016-04-02,"2,987","2,129","1,737",392
568,Sunday,1,2016-04-03,"4,257","2,964","2,421",543
569,Monday,2,2016-04-04,"5,804","4,216","3,426",790
570,Tuesday,3,2016-04-05,"5,885","4,379","3,597",782
571,Wednesday,4,2016-04-06,"6,054","4,293","3,522",771
572,Thursday,5,2016-04-07,"5,791","4,147","3,422",725
573,Friday,6,2016-04-08,"4,741","3,43","2,82",610
574,Saturday,7,2016-04-09,"2,946","2,14","1,74",400
575,Sunday,1,2016-04-10,"4,071","2,864","2,33",534
576,Monday,2,2016-04-11,"6,265","4,503","3,667",836
577,Tuesday,3,2016-04-12,"6,298","4,626","3,769",857
596,Sunday,1,2016-05-01,"4,366","3,236","2,605",631
597,Monday,2,2016-05-02,"6,51","4,786","3,909",877
598,Tuesday,3,2016-05-03,"6,855","4,962","4,085",877
599,Wednesday,4,2016-05-04,"6,599","4,651","3,744",907
600,Thursday,5,2016-05-05,"5,51","4,105","3,375",730
601,Friday,6,2016-05-06,"4,549","3,245","2,639",606
602,Saturday,7,2016-05-07,"3,064","2,167","1,76",407
603,Sunday,1,2016-05-08,"3,633","2,663","2,18",483
604,Monday,2,2016-05-09,"5,838","4,283","3,489",794
605,Tuesday,3,2016-05-10,"6,026","4,336","3,581",755
606,Wednesday,4,2016-05-11,"5,78","4,226","3,479",747
607,Thursday,5,2016-05-12,"5,131","3,781","3,101",680
627,Wednesday,4,2016-06-01,"5,443","3,962","3,193",769
628,Thursday,5,2016-06-02,"5,59","3,959","3,176",783
629,Friday,6,2016-06-03,"4,482","3,164","2,489",675
630,Saturday,7,2016-06-04,"2,792","1,947","1,533",414
631,Sunday,1,2016-06-05,"3,371","2,449","1,979",470
632,Monday,2,2016-06-06,"5,547","3,832","3,036",796
633,Tuesday,3,2016-06-07,"5,468","3,954","3,226",728
634,Wednesday,4,2016-06-08,"5,104","3,751","3,064",687
635,Thursday,5,2016-06-09,"4,728","3,485","2,812",673
636,Friday,6,2016-06-10,"4,024","2,855","2,29",565
637,Saturday,7,2016-06-11,"2,35","1,677","1,348",329
638,Sunday,1,2016-06-12,"3,234","2,196","1,779",417
657,Friday,6,2016-07-01,"3,179","2,226","1,73",496
658,Saturday,7,2016-07-02,"1,615","1,039",814,225
659,Sunday,1,2016-07-03,"1,788","1,307","1,028",279
660,Monday,2,2016-07-04,"2,959","2,144","1,653",491
661,Tuesday,3,2016-07-05,"3,947","2,84","2,235",605
662,Wednesday,4,2016-07-06,"3,841","2,821","2,248",573
663,Thursday,5,2016-07-07,"3,729","2,7","2,148",552
664,Friday,6,2016-07-08,"3,324","2,381","1,891",490
665,Saturday,7,2016-07-09,"1,795","1,305","1,036",269
666,Sunday,1,2016-07-10,"2,373","1,655","1,321",334
667,Monday,2,2016-07-11,"4,101","2,855","2,208",647
668,Tuesday,3,2016-07-12,"4,241","2,96","2,352",608
688,Monday,2,2016-08-01,"4,504","3,095","2,489",606
689,Tuesday,3,2016-08-02,"4,382","3,138","2,499",639
690,Wednesday,4,2016-08-03,"4,71","3,369","2,697",672
691,Thursday,5,2016-08-04,"4,324","3,106","2,479",627
692,Friday,6,2016-08-05,"3,472","2,497","1,98",517
693,Saturday,7,2016-08-06,"1,909","1,339","1,081",258
694,Sunday,1,2016-08-07,"2,365","1,688","1,334",354
695,Monday,2,2016-08-08,"4,46","3,056","2,438",618
696,Tuesday,3,2016-08-09,"4,479","3,135","2,482",653
697,Wednesday,4,2016-08-10,"4,51","3,207","2,55",657
698,Thursday,5,2016-08-11,"4,34","3,111","2,491",620
699,Friday,6,2016-08-12,"3,508","2,436","1,933",503
719,Thursday,5,2016-09-01,"4,234","3,116","2,556",560
720,Friday,6,2016-09-02,"3,027","2,23","1,762",468
721,Saturday,7,2016-09-03,"1,966","1,376","1,101",275
722,Sunday,1,2016-09-04,"2,446","1,761","1,452",309
723,Monday,2,2016-09-05,"3,779","2,643","2,145",498
724,Tuesday,3,2016-09-06,"4,619","3,341","2,727",614
725,Wednesday,4,2016-09-07,"4,983","3,584","2,925",659
726,Thursday,5,2016-09-08,"4,645","3,319","2,716",603
727,Friday,6,2016-09-09,"3,612","2,63","2,139",491
728,Saturday,7,2016-09-10,"2,153","1,577","1,323",254
729,Sunday,1,2016-09-11,"3,089","2,307","1,978",329
730,Monday,2,2016-09-12,"4,58","3,446","2,882",564
749,Saturday,7,2016-10-01,"2,525","1,986","1,656",330
750,Sunday,1,2016-10-02,"3,923","3,023","2,559",464
751,Monday,2,2016-10-03,"5,785","4,281","3,545",736
752,Tuesday,3,2016-10-04,"6,052","4,522","3,78",742
753,Wednesday,4,2016-10-05,"6,15","4,588","3,814",774
754,Thursday,5,2016-10-06,"5,591","4,134","3,419",715
755,Friday,6,2016-10-07,"4,279","3,196","2,616",580
756,Saturday,7,2016-10-08,"2,897","2,066","1,717",349
757,Sunday,1,2016-10-09,"3,904","2,873","2,374",499
758,Monday,2,2016-10-10,"5,458","4,145","3,442",703
759,Tuesday,3,2016-10-11,"5,909","4,399","3,685",714
760,Wednesday,4,2016-10-12,"6,175","4,62","3,823",797
780,Tuesday,3,2016-11-01,"5,668","4,185","3,36",825
781,Wednesday,4,2016-11-02,"6,159","4,508","3,663",845
782,Thursday,5,2016-11-03,"5,81","4,241","3,426",815
783,Friday,6,2016-11-04,"4,491","3,394","2,67",724
784,Saturday,7,2016-11-05,"3,11","2,263","1,842",421
785,Sunday,1,2016-11-06,"4,418","3,281","2,713",568
786,Monday,2,2016-11-07,"6,529","4,488","3,573",915
787,Tuesday,3,2016-11-08,"5,756","4,251","3,437",814
788,Wednesday,4,2016-11-09,"5,716","4,102","3,315",787
789,Thursday,5,2016-11-10,"5,323","4,022","3,246",776
790,Friday,6,2016-11-11,"4,28","3,085","2,441",644
791,Saturday,7,2016-11-12,"2,982","2,169","1,777",392
810,Thursday,5,2016-12-01,"7,19","5,081","4,12",961
